id,code,province,district,township
l10n_pa_edi_location_4_6_3,4-6-3,CHIRIQUI,DAVID,COCHEA
l10n_pa_edi_location_4_6_4,4-6-4,CHIRIQUI,DAVID,CHIRIQUI
l10n_pa_edi_location_4_6_5,4-6-5,CHIRIQUI,DAVID,GUACA
l10n_pa_edi_location_4_6_6,4-6-6,CHIRIQUI,DAVID,LAS LOMAS
l10n_pa_edi_location_4_6_7,4-6-7,CHIRIQUI,DAVID,PEDREGAL
l10n_pa_edi_location_4_6_8,4-6-8,CHIRIQUI,DAVID,SAN CARLOS
l10n_pa_edi_location_4_6_9,4-6-9,CHIRIQUI,DAVID,SAN PABLO NUEVO
l10n_pa_edi_location_4_6_10,4-6-10,CHIRIQUI,DAVID,SAN PABLO VIEJO
l10n_pa_edi_location_4_7_1,4-7-1,CHIRIQUI,DOLEGA,DOLEGA (CABECERA)
l10n_pa_edi_location_4_7_2,4-7-2,CHIRIQUI,DOLEGA,DOS RIOS
l10n_pa_edi_location_4_7_3,4-7-3,CHIRIQUI,DOLEGA,LOS ANASTACIOS
l10n_pa_edi_location_4_7_4,4-7-4,CHIRIQUI,DOLEGA,POTRERILLOS
l10n_pa_edi_location_4_7_5,4-7-5,CHIRIQUI,DOLEGA,POTRERILLOS ABAJO
l10n_pa_edi_location_4_7_6,4-7-6,CHIRIQUI,DOLEGA,ROVIRA
l10n_pa_edi_location_4_7_7,4-7-7,CHIRIQUI,DOLEGA,TINAJAS
l10n_pa_edi_location_4_7_8,4-7-8,CHIRIQUI,DOLEGA,LOS ALGARRROBOS
l10n_pa_edi_location_4_8_1,4-8-1,CHIRIQUI,GUALACA,GUALACA (CABECERA)
l10n_pa_edi_location_4_8_2,4-8-2,CHIRIQUI,GUALACA,HORNITO
l10n_pa_edi_location_4_8_3,4-8-3,CHIRIQUI,GUALACA,LOS ANGELES
l10n_pa_edi_location_4_8_4,4-8-4,CHIRIQUI,GUALACA,PAJA DE SOMBRERO
l10n_pa_edi_location_4_8_5,4-8-5,CHIRIQUI,GUALACA,RINCON
l10n_pa_edi_location_4_9_1,4-9-1,CHIRIQUI,REMEDIOS,REMEDIOS (CABECERA)
l10n_pa_edi_location_4_9_2,4-9-2,CHIRIQUI,REMEDIOS,EL NANCITO
l10n_pa_edi_location_4_9_3,4-9-3,CHIRIQUI,REMEDIOS,EL PORVENIR
l10n_pa_edi_location_4_9_4,4-9-4,CHIRIQUI,REMEDIOS,EL PUERTO
l10n_pa_edi_location_4_9_5,4-9-5,CHIRIQUI,REMEDIOS,SANTA LUCIA
l10n_pa_edi_location_4_10_1,4-10-1,CHIRIQUI,RENACIMIENTO,RIO SERENO (CABECERA)
l10n_pa_edi_location_4_10_2,4-10-2,CHIRIQUI,RENACIMIENTO,BREÑON
l10n_pa_edi_location_4_10_3,4-10-3,CHIRIQUI,RENACIMIENTO,CAÑAS GORDAS
l10n_pa_edi_location_4_10_4,4-10-4,CHIRIQUI,RENACIMIENTO,MONTE LIRIO
l10n_pa_edi_location_4_10_5,4-10-5,CHIRIQUI,RENACIMIENTO,PLAZA CAISAN
l10n_pa_edi_location_4_10_6,4-10-6,CHIRIQUI,RENACIMIENTO,SANTA CRUZ
l10n_pa_edi_location_4_10_7,4-10-7,CHIRIQUI,RENACIMIENTO,DOMINICAL
l10n_pa_edi_location_4_10_8,4-10-8,CHIRIQUI,RENACIMIENTO,SANTA CLARA
l10n_pa_edi_location_4_11_1,4-11-1,CHIRIQUI,SAN FELIX,LAS LAJAS (CABECERA)
l10n_pa_edi_location_4_11_2,4-11-2,CHIRIQUI,SAN FELIX,JUAY
l10n_pa_edi_location_4_11_3,4-11-3,CHIRIQUI,SAN FELIX,LAJAS ADENTRO
l10n_pa_edi_location_4_11_4,4-11-4,CHIRIQUI,SAN FELIX,SAN FELIX
l10n_pa_edi_location_4_11_5,4-11-5,CHIRIQUI,SAN FELIX,SANTA CRUZ
